cell,theorem,stage,arm,seed,success,qualified_solve,platform_failed,cost,input_tokens,cached_input_tokens,output_tokens,model_requests,tool_advertised_requests,real_snippet_checks,snippet_rejected,snippet_open,snippet_completed,snippet_resource_exhausted,snippet_unknown,snippet_reused,snippet_requests,actual_book_requests,source
snippets-v1__imo_1984_p6__validation-A__seed0,imo_1984_p6,validation,A,0,False,False,False,0.009580179999999999,85382,53719,1811,7,7,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__imo_1984_p6__validation-A__seed0
snippets-v1__mathd_numbertheory_303__validation-A__seed0,mathd_numbertheory_303,validation,A,0,False,False,False,0.03740024,256675,165902,13273,18,18,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__mathd_numbertheory_303__validation-A__seed0
snippets-v1__amc12b_2002_p3__validation-A__seed0,amc12b_2002_p3,validation,A,0,True,True,False,0.03722606,219661,85763,7276,16,16,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__amc12b_2002_p3__validation-A__seed0
snippets-v1__imo_1964_p2__validation-A__seed0,imo_1964_p2,validation,A,0,True,True,False,0.04310344,252044,104592,9601,16,16,3,3,0,0,0,0,0,3,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__imo_1964_p2__validation-A__seed0
snippets-v1__mathd_algebra_433__validation-A__seed0,mathd_algebra_433,validation,A,0,True,True,False,0.00465314,29080,9407,442,3,3,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__mathd_algebra_433__validation-A__seed0
snippets-v1__amc12b_2003_p6__validation-A__seed0,amc12b_2003_p6,validation,A,0,True,True,False,0.036898400000000005,211003,81690,7835,16,16,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__amc12b_2003_p6__validation-A__seed0
snippets-v1__amc12b_2020_p5__validation-A__seed0,amc12b_2020_p5,validation,A,0,True,True,False,0.002274,9714,0,276,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__amc12b_2020_p5__validation-A__seed0
snippets-v1__amc12a_2008_p4__validation-A__seed0,amc12a_2008_p4,validation,A,0,False,False,False,0.04117386,179982,41203,10495,14,14,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__amc12a_2008_p4__validation-A__seed0
snippets-v1__mathd_numbertheory_530__validation-A__seed0,mathd_numbertheory_530,validation,A,0,False,False,False,0.03958372,353231,243036,10570,24,24,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__mathd_numbertheory_530__validation-A__seed0
snippets-v1__imo_1960_p2__validation-A__seed0,imo_1960_p2,validation,A,0,True,True,False,0.00622334,41089,20187,1366,4,4,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__imo_1960_p2__validation-A__seed0
