cell,stage,arm,theorem,seed,cap,solved,qualified,failed,cost,requests,rocq_seconds,input,cached,output,uncached_cost
validation__ace__induction_prod1p1onk3le3m1onn__seed0,validation,ace,induction_prod1p1onk3le3m1onn,0,0.1,False,False,False,0.03889538,25,1.7302235225215554,368761,272389,11811,0.08792539999999999
validation__agentic__mathd_numbertheory_303__seed1,validation,agentic,mathd_numbertheory_303,1,0.1,False,False,False,0.040306800000000004,20,46.877071822062135,292797,186930,12829,0.0739542
validation__agentic__amc12a_2016_p3__seed0,validation,agentic,amc12a_2016_p3,0,0.1,True,True,False,0.031418180000000004,17,2.0193315958604217,298183,200929,6624,0.06758539999999999
validation__agentic__amc12_2001_p21__seed1,validation,agentic,amc12_2001_p21,1,0.1,False,False,False,0.013698400000000001,17,243.42843714170158,145997,137610,7724,0.0384682
validation__ace__mathd_numbertheory_37__seed1,validation,ace,mathd_numbertheory_37,1,0.1,False,False,False,0.019055479999999996,26,247.94758146628737,300286,271574,6568,0.0679388
validation__ace__amc12a_2013_p8__seed1,validation,ace,amc12a_2013_p8,1,0.1,True,True,False,0.00847968,8,1.374863376840949,62157,50154,4230,0.0175074
validation__agentic__mathd_algebra_190__seed0,validation,agentic,mathd_algebra_190,0,0.1,True,True,False,0.00013556,1,0.5330553902313113,3751,3748,50,0.0008101999999999999
validation__agentic__mathd_algebra_251__seed0,validation,agentic,mathd_algebra_251,0,0.1,True,True,False,0.0052508599999999996,7,1.0886734621599317,32959,21543,2114,0.0091286
validation__ace__imo_1981_p6__seed1,validation,ace,imo_1981_p6,1,0.1,True,True,False,0.015201919999999997,9,1.2336188899353147,86698,53436,6234,0.0248204
validation__agentic__mathd_numbertheory_303__seed0,validation,agentic,mathd_numbertheory_303,0,0.1,False,False,False,0.042241879999999996,25,70.42714278493077,373582,268834,13263,0.090632
validation__ace__mathd_numbertheory_43__seed1,validation,ace,mathd_numbertheory_43,1,0.1,False,False,False,0.018494379999999998,20,264.6671926295385,272912,253929,8016,0.0642016
validation__ace__mathd_numbertheory_461__seed0,validation,ace,mathd_numbertheory_461,0,0.1,True,True,False,0.00064246,1,0.6138396020978689,6098,4873,250,0.0015195999999999999
validation__ace__amc12b_2002_p3__seed1,validation,ace,amc12b_2002_p3,1,0.1,True,True,False,0.01080306,10,1.6651626862585545,95082,75783,4523,0.024444
validation__ace__imo_1984_p6__seed1,validation,ace,imo_1984_p6,1,0.1,False,False,False,0.023630279999999997,14,250.98637470044196,175380,122814,8884,0.045736799999999994
validation__ace__mathd_numbertheory_64__seed0,validation,ace,mathd_numbertheory_64,0,0.1,True,True,False,0.020109539999999995,13,2.043181878514588,141108,86507,6216,0.0356808
validation__agentic__imo_1960_p2__seed0,validation,agentic,imo_1960_p2,0,0.1,True,True,False,0.02062604,15,2.168567475862801,188467,136152,6200,0.0451334
validation__ace__mathd_algebra_214__seed1,validation,ace,mathd_algebra_214,1,0.1,True,True,False,0.00066106,1,0.6353680649772286,6173,4873,253,0.0015382
validation__agentic__amc12a_2008_p4__seed0,validation,agentic,amc12a_2008_p4,0,0.1,True,True,False,0.030917239999999995,16,1.8524969052523375,142342,45722,8899,0.03914719999999999
validation__agentic__mathd_numbertheory_530__seed0,validation,agentic,mathd_numbertheory_530,0,0.1,False,False,False,0.03767412,23,2.5632206117734313,324684,226846,11308,0.0785064
validation__ace__amc12_2001_p21__seed0,validation,ace,amc12_2001_p21,0,0.1,False,False,False,0.02055416,14,22.552187561057508,147295,98558,7363,0.0382946
validation__ace__mathd_algebra_214__seed0,validation,ace,mathd_algebra_214,0,0.1,True,True,False,0.0003784,1,0.6476451214402914,6173,6170,212,0.0014889999999999999
validation__ace__amc12a_2019_p21__seed0,validation,ace,amc12a_2019_p21,0,0.1,False,False,False,0.04202284,25,31.50690231565386,384920,294602,15056,0.0950512
validation__agentic__mathd_algebra_393__seed1,validation,agentic,mathd_algebra_393,1,0.1,True,True,False,0.00237444,3,0.6222955416887999,13311,9192,1139,0.004029
validation__ace__mathd_numbertheory_461__seed1,validation,ace,mathd_numbertheory_461,1,0.1,True,True,False,0.0003937,1,0.636281518265605,6098,6095,226,0.0014908
validation__ace__aime_1989_p8__seed1,validation,ace,aime_1989_p8,1,0.1,True,True,False,0.00066406,1,0.6547076059505343,6674,4873,172,0.0015412
validation__ace__amc12_2000_p12__seed1,validation,ace,amc12_2000_p12,1,0.1,False,False,False,0.03843196,19,110.87640556041151,203468,139958,19109,0.0636244
