stage,arm,stopping_allowance,n,solves,mean_solves_per_40,all_attempt_cost,all_attempt_cost_lower,all_attempt_cost_upper,invoice_exact,mean_cost_per_40,cost_per_solve,baseline,saving_vs_same_cap,saving_vs_same_cap_interval,solve_difference_vs_same_cap,saving_vs_ordinary_ten_cents,saving_vs_ordinary_ten_cents_interval,solve_difference_vs_ordinary_ten_cents,dominated_by_a_matched_nonace_budget,preparation_cost,cost_including_preparation_at_measured_n,cost_including_preparation_interval,break_even_problems_at_same_cap,problems_for_ten_percent_total_saving_at_same_cap
train,B2,0.1,80,66,33.0,1.8124201599999998,1.8124201599999998,1.8124201599999998,True,0.9062100799999999,0.027460911515151513,B0,-0.0006938854805271788,"[-0.0006938854805271788, -0.0006938854805271788]",2.5,-0.0006938854805271788,"[-0.0006938854805271788, -0.0006938854805271788]",2.5,False,44.71989878,46.53231894,"[46.53231894, 46.53231894]",,
train,O1,0.05,80,63,31.5,1.31622431,1.31622431,1.31622431,True,0.658112155,0.020892449365079363,A0,0.07974213623171122,"[0.07974213623171122, 0.07974213623171122]",1.0,0.23243151611575663,"[0.23243151611575663, 0.23243151611575663]",0.0,False,23.46235247,24.778576779999998,"[24.778576779999998, 24.778576779999998]",16458,
train,O1,0.075,80,64,32.0,1.47520136,1.47520136,1.47520136,True,0.73760068,0.02305002125,A0,0.09984703820750995,"[0.09984703820750995, 0.09984703820750995]",1.0,0.13972256649843073,"[0.13972256649843073, 0.13972256649843073]",0.5,False,23.46235247,24.93755383,"[24.93755383, 24.93755383]",11471,
train,O1,0.09,80,64,32.0,1.48851472,1.48851472,1.48851472,True,0.74425736,0.0232580425,A0,0.12614684387321506,"[0.12614684387321506, 0.12614684387321506]",1.0,0.13195875642976163,"[0.13195875642976163, 0.13195875642976163]",0.5,False,23.46235247,24.95086719,"[24.95086719, 24.95086719]",8736,42144
train,O1,0.1,80,64,32.0,1.49239593,1.49239593,1.49239593,True,0.746197965,0.02331868640625,A0,0.1296953926150206,"[0.1296953926150206, 0.1296953926150206]",0.5,0.1296953926150206,"[0.1296953926150206, 0.1296953926150206]",0.5,False,23.46235247,24.9547484,"[24.9547484, 24.9547484]",8440,36861
train,P1,0.05,80,58,29.0,1.45318676,1.45318676,1.45318676,True,0.72659338,0.025054944137931034,A0,-0.01601720409947527,"[-0.01601720409947527, -0.01601720409947527]",-1.5,0.15256058583672893,"[0.15256058583672893, 0.15256058583672893]",-2.5,True,2.09789942,3.55108618,"[3.55108618, 3.55108618]",,
train,P1,0.075,80,59,29.5,1.65426221,1.65426221,1.65426221,True,0.827131105,0.02803834254237288,A0,-0.009414082910613741,"[-0.009414082910613741, -0.009414082910613741]",-1.5,0.03530156157296793,"[0.03530156157296793, 0.03530156157296793]",-2.0,True,2.09789942,3.75216163,"[3.75216163, 3.75216163]",,
train,P1,0.09,80,59,29.5,1.7391292999999999,1.7391292999999999,1.7391292999999999,True,0.8695646499999999,0.029476767796610168,A0,-0.020979911920230077,"[-0.020979911920230077, -0.020979911920230077]",-1.5,-0.014189473585748624,"[-0.014189473585748624, -0.014189473585748624]",-2.0,True,2.09789942,3.83702872,"[3.83702872, 3.83702872]",,
train,P1,0.1,80,59,29.5,1.7450815,1.7450815,1.7450815,True,0.87254075,0.029577652542372882,A0,-0.017660554536818474,"[-0.017660554536818474, -0.017660554536818474]",-2.0,-0.017660554536818474,"[-0.017660554536818474, -0.017660554536818474]",-2.0,True,2.09789942,3.84298092,"[3.84298092, 3.84298092]",,
train,R1,0.05,80,64,32.0,1.3910366299999999,1.3910366299999999,1.3910366299999999,True,0.6955183149999999,0.021734947343749998,A0,0.02743598653998458,"[0.02743598653998458, 0.02743598653998458]",1.5,0.18880401387165757,"[0.18880401387165757, 0.18880401387165757]",0.5,False,21.16027059,22.551307219999998,"[22.551307219999998, 22.551307219999998]",43140,
