campaign,stage,label,platform_errors,n,theorems,solves,coverage,cost,cost_per_solve,failed_cost,requests,auto_finished,missing_usage,max_cell_cost,input_cost,output_cost,large_context_requests
ace_adaptation_x-mono,train,step14_generator_{theorem},0,1,1,0,0.0,0.031005680000000004,,0.031005680000000004,32,0,0,0.031005680000000004,0.02395568,0.007049999999999999,0
ace_adaptation_x-mono,train,step15_generator_{theorem},0,1,1,1,1.0,0.00343184,0.00343184,0,3,1,0,0.00343184,0.00209144,0.0013404,0
ace_adaptation_x-mono,train,step16_generator_{theorem},0,1,1,1,1.0,0.00094716,0.00094716,0,2,0,0,0.00094716,0.0005583599999999999,0.0003888,0
ace_adaptation_x-mono,train,step17_generator_{theorem},0,1,1,0,0.0,0.03488297,,0.03488297,32,0,0,0.03488297,0.01590137,0.018981599999999998,0
ace_adaptation_x-mono,train,step18_generator_{theorem},0,1,1,1,1.0,0.00912456,0.00912456,0,2,0,0,0.00912456,0.0030345599999999995,0.00609,0
ace_adaptation_x-mono,train,step19_generator_{theorem},0,1,1,1,1.0,0.027693629999999997,0.027693629999999997,0,16,0,0,0.027693629999999997,0.01701603,0.010677599999999999,0
ace_adaptation_x-mono,train,step20_generator_{theorem},0,1,1,0,0.0,0.055566729999999995,,0.055566729999999995,32,0,0,0.055566729999999995,0.03529992999999999,0.020266799999999998,0
ace_adaptation_x-mono,train,step21_generator_{theorem},0,1,1,0,0.0,0.0582341,,0.0582341,32,0,0,0.0582341,0.028402100000000003,0.029831999999999997,0
ace_adaptation_x-mono,train,step22_generator_{theorem},0,1,1,1,1.0,0.014960709999999997,0.014960709999999997,0,14,0,0,0.014960709999999997,0.00700351,0.0079572,0
ace_adaptation_x-mono,train,step23_generator_{theorem},0,1,1,1,1.0,0.01186595,0.01186595,0,8,0,0,0.01186595,0.0043827499999999995,0.007483199999999999,0
ace_adaptation_x-mono,train,step24_generator_{theorem},0,1,1,1,1.0,0.052534309999999994,0.052534309999999994,0,30,0,0,0.052534309999999994,0.021251509999999998,0.03128279999999999,0
ace_adaptation_x-mono,train,step25_generator_{theorem},0,1,1,1,1.0,0.00857792,0.00857792,0,8,0,0,0.00857792,0.0040563199999999995,0.0045216,0
ace_adaptation_x-mono,train,step26_generator_{theorem},0,1,1,1,1.0,0.01682354,0.01682354,0,13,0,0,0.01682354,0.00855914,0.0082644,0
ace_adaptation_x-mono,train,step27_generator_{theorem},0,1,1,1,1.0,0.0031497399999999994,0.0031497399999999994,0,5,0,0,0.0031497399999999994,0.00154054,0.0016091999999999999,0
ace_adaptation_x-mono,train,step28_generator_{theorem},0,1,1,0,0.0,0.056251169999999996,,0.056251169999999996,32,0,0,0.056251169999999996,0.02618997,0.0300612,0
ace_adaptation_x-mono,train,step29_generator_{theorem},0,1,1,1,1.0,0.022783920000000003,0.022783920000000003,0,17,0,0,0.022783920000000003,0.01039752,0.0123864,0
ace_adaptation_x-mono,train,step30_generator_{theorem},0,1,1,1,1.0,0.001728,0.001728,0,1,0,0,0.001728,0.0016175999999999999,0.0001104,0
ace_adaptation_x-mono,train,step31_generator_{theorem},0,1,1,1,1.0,0.03451873999999999,0.03451873999999999,0,22,0,0,0.03451873999999999,0.01548194,0.0190368,0
ace_adaptation_x-mono,train,step32_generator_{theorem},0,1,1,1,1.0,0.00945993,0.00945993,0,9,0,0,0.00945993,0.0047715299999999995,0.0046884,0
ace_adaptation_x-mono,train,step33_generator_{theorem},0,1,1,1,1.0,0.01126199,0.01126199,0,7,0,0,0.01126199,0.00338519,0.0078768,0
ace_adaptation_x-mono,train,step34_generator_{theorem},0,1,1,0,0.0,0.0605488,,0.0605488,32,0,0,0.0605488,0.02917,0.0313788,0
ace_adaptation_x-mono,train,step35_generator_{theorem},0,1,1,1,1.0,0.00221741,0.00221741,0,5,0,0,0.00221741,0.0011986100000000001,0.0010187999999999998,0
ace_adaptation_x-mono,train,step36_generator_{theorem},0,1,1,1,1.0,0.00045316000000000003,0.00045316000000000003,0,1,0,0,0.00045316000000000003,0.00038836000000000003,6.48e-05,0
ace_adaptation_x-mono,train,step37_generator_{theorem},0,1,1,1,1.0,0.0239593,0.0239593,0,19,0,0,0.0239593,0.010749700000000001,0.013209599999999998,0
ace_adaptation_x-mono,train,step38_generator_{theorem},0,1,1,1,1.0,0.0029549399999999997,0.0029549399999999997,0,4,0,0,0.0029549399999999997,0.0013037399999999998,0.0016511999999999998,0
ace_adaptation_x-mono,train,step39_generator_{theorem},0,1,1,0,0.0,0.03056445999999999,,0.03056445999999999,32,0,0,0.03056445999999999,0.019357660000000002,0.011206800000000001,0
ace_adaptation_x-noreflect,train,step00_generator_{theorem},0,1,1,1,1.0,0.0020719,0.0020719,0,5,0,0,0.0020719,0.0009655,0.0011064,0
ace_adaptation_x-noreflect,train,step01_generator_{theorem},0,1,1,0,0.0,0.06857992,,0.06857992,32,0,0,0.06857992,0.02924392,0.039336,0
ace_adaptation_x-noreflect,train,step02_generator_{theorem},0,1,1,1,1.0,0.009370909999999998,0.009370909999999998,0,8,0,0,0.009370909999999998,0.006175309999999999,0.0031955999999999994,0
ace_adaptation_x-noreflect,train,step03_generator_{theorem},0,1,1,1,1.0,0.0011459499999999997,0.0011459499999999997,0,1,0,0,0.0011459499999999997,0.0009863499999999998,0.0001596,0
ace_adaptation_x-noreflect,train,step04_generator_{theorem},0,1,1,1,1.0,0.08015682999999998,0.08015682999999998,0,22,1,0,0.08015682999999998,0.04248283,0.037674,0
ace_adaptation_x-noreflect,train,step05_generator_{theorem},0,1,1,1,1.0,0.0019762699999999996,0.0019762699999999996,0,3,1,0,0.0019762699999999996,0.0014074699999999999,0.0005688,0
ace_adaptation_x-noreflect,train,step06_generator_{theorem},0,1,1,1,1.0,0.0014730999999999998,0.0014730999999999998,0,1,1,0,0.0014730999999999998,0.0011430999999999998,0.00033,0
ace_adaptation_x-noreflect,train,step07_generator_{theorem},0,1,1,1,1.0,0.01361372,0.01361372,0,14,0,0,0.01361372,0.005712919999999999,0.0079008,0
ace_adaptation_x-noreflect,train,step08_generator_{theorem},0,1,1,1,1.0,0.0012345,0.0012345,0,1,0,0,0.0012345,0.0011181,0.0001164,0
ace_adaptation_x-noreflect,train,step09_generator_{theorem},0,1,1,1,1.0,0.0028698799999999996,0.0028698799999999996,0,4,0,0,0.0028698799999999996,0.0013734799999999998,0.0014964,0
ace_adaptation_x-noreflect,train,step10_generator_{theorem},0,1,1,1,1.0,0.0088074,0.0088074,0,9,0,0,0.0088074,0.0038886,0.0049188,0
ace_adaptation_x-noreflect,train,step11_generator_{theorem},0,1,1,1,1.0,0.00785666,0.00785666,0,8,0,0,0.00785666,0.00443906,0.0034176,0
ace_adaptation_x-noreflect,train,step12_generator_{theorem},0,1,1,1,1.0,0.00135005,0.00135005,0,1,1,0,0.00135005,0.00127685,7.319999999999999e-05,0
ace_adaptation_x-noreflect,train,step13_generator_{theorem},0,1,1,1,1.0,0.00056662,0.00056662,0,1,0,0,0.00056662,0.00039141999999999996,0.0001752,0
ace_adaptation_x-noreflect,train,step14_generator_{theorem},0,1,1,0,0.0,0.022628110000000003,,0.022628110000000003,32,0,0,0.022628110000000003,0.015296109999999998,0.007332000000000003,0
ace_adaptation_x-noreflect,train,step15_generator_{theorem},0,1,1,1,1.0,0.0017279499999999998,0.0017279499999999998,0,1,0,0,0.0017279499999999998,0.00137635,0.0003516,0
ace_adaptation_x-noreflect,train,step16_generator_{theorem},0,1,1,1,1.0,0.00210794,0.00210794,0,2,0,0,0.00210794,0.0015739399999999998,0.000534,0
ace_adaptation_x-noreflect,train,step17_generator_{theorem},0,1,1,1,1.0,0.04999001,0.04999001,0,23,0,0,0.04999001,0.021240409999999994,0.028749599999999997,0
ace_adaptation_x-noreflect,train,step18_generator_{theorem},0,1,1,1,1.0,0.04600471,0.04600471,0,25,0,0,0.04600471,0.019496709999999997,0.026508,0
ace_adaptation_x-noreflect,train,step19_generator_{theorem},0,1,1,1,1.0,0.01586638,0.01586638,0,11,0,0,0.01586638,0.00736558,0.0085008,0
ace_adaptation_x-noreflect,train,step20_generator_{theorem},0,1,1,0,0.0,0.047056100000000003,,0.047056100000000003,32,0,0,0.047056100000000003,0.026621300000000004,0.0204348,0
ace_adaptation_x-noreflect,train,step21_generator_{theorem},0,1,1,0,0.0,0.049543189999999994,,0.049543189999999994,32,0,0,0.049543189999999994,0.024409189999999997,0.025134,0
ace_adaptation_x-noreflect,train,step22_generator_{theorem},0,1,1,1,1.0,0.02114547,0.02114547,0,11,0,0,0.02114547,0.007884269999999999,0.013261199999999997,0
ace_adaptation_x-noreflect,train,step23_generator_{theorem},0,1,1,0,0.0,0.031967020000000006,,0.031967020000000006,32,0,0,0.031967020000000006,0.019157020000000004,0.012809999999999998,0
ace_adaptation_x-noreflect,train,step24_generator_{theorem},0,1,1,1,1.0,0.05983917,0.05983917,0,29,0,0,0.05983917,0.03165357,0.028185599999999998,0
ace_adaptation_x-noreflect,train,step25_generator_{theorem},0,1,1,1,1.0,0.0054883499999999995,0.0054883499999999995,0,5,0,0,0.0054883499999999995,0.0038095499999999997,0.0016787999999999998,0
ace_adaptation_x-noreflect,train,step26_generator_{theorem},0,1,1,1,1.0,0.00444779,0.00444779,0,2,0,0,0.00444779,0.00253259,0.0019152,0
ace_adaptation_x-noreflect,train,step27_generator_{theorem},0,1,1,1,1.0,0.00219361,0.00219361,0,2,0,0,0.00219361,0.00070561,0.001488,0
