stage,arm,theorem,seed,success,qualified,platform_failed,cost,cost_per_cell_uncached,requests,book_exposures,result,trace_file
validation,B,aime_1991_p6,0,False,False,False,0.03600614,0.0680006,17,17,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__aime_1991_p6__seed0/result.yaml,analysis/traces/validation_B_aime_1991_p6_0.json
validation,B,amc12_2000_p12,1,True,True,False,0.004613379999999999,0.0110104,6,6,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__amc12_2000_p12__seed1/result.yaml,analysis/traces/validation_B_amc12_2000_p12_1.json
validation,B,amc12_2001_p21,0,False,False,False,0.028674739999999997,0.047980999999999996,15,15,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__amc12_2001_p21__seed0/result.yaml,analysis/traces/validation_B_amc12_2001_p21_0.json
validation,B,amc12b_2003_p6,0,True,True,False,0.0209594,0.034346,12,12,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__amc12b_2003_p6__seed0/result.yaml,analysis/traces/validation_B_amc12b_2003_p6_0.json
validation,B,amc12a_2016_p3,1,True,True,False,0.00536502,0.010893,5,5,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__amc12a_2016_p3__seed1/result.yaml,analysis/traces/validation_B_amc12a_2016_p3_1.json
validation,B,aime_1989_p8,1,True,True,False,0.00023521999999999996,0.001472,1,1,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__aime_1989_p8__seed1/result.yaml,analysis/traces/validation_B_aime_1989_p8_1.json
validation,B,mathd_numbertheory_33,1,True,True,False,0.00074812,0.0029902,2,2,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__mathd_numbertheory_33__seed1/result.yaml,analysis/traces/validation_B_mathd_numbertheory_33_1.json
validation,B,amc12b_2003_p6,1,True,True,False,0.04105558,0.06452379999999999,18,18,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__amc12b_2003_p6__seed1/result.yaml,analysis/traces/validation_B_amc12b_2003_p6_1.json
validation,B,mathd_numbertheory_461,1,True,True,False,0.0005380999999999999,0.0016712,1,1,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__mathd_numbertheory_461__seed1/result.yaml,analysis/traces/validation_B_mathd_numbertheory_461_1.json
validation,B,aime_1984_p7,0,False,False,False,0.038945339999999995,0.0530964,12,12,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__aime_1984_p7__seed0/result.yaml,analysis/traces/validation_B_aime_1984_p7_0.json
