ledger,cell,receipt,date,stage,charged,uncached,input,cached,output
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,9c88bff6487b42098c47d19273f81dba,2026-09-12,luna,0.00480274,0.005271999999999999,22934,2607,571
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,de4f8bf6ae444f89bc4e776f583fffb1,2026-09-12,luna,0.0014024200000000001,0.00553,24194,22931,576
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,75ab8e8d37244b03acc58486f3e0a567,2026-09-12,luna,0.00182202,0.006176399999999999,25494,24191,898
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,4231a2afcd7f48dab270e0419ed5bbcb,2026-09-12,luna,0.00490814,0.0053774,25471,2607,236
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,56566a966e444697b10680482945a76e,2026-09-12,luna,0.00177116,0.0063554,26611,25468,861
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,30b8c3939abe41069557571b3a26cced,2026-09-12,luna,0.00524394,0.0057132,27348,2607,203
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,mathd_algebra_190__luna-none-medium__gpt-5.6-luna__seed0,f52e42dd768f404da39cfc6b9d80516b,2026-09-12,luna,0.00037813999999999995,0.0008473999999999999,3751,2607,81
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,mathd_algebra_190__luna-none-medium__gpt-5.6-luna__seed0,9a5e57dc8b93472ebb2bf727c74ce28b,2026-09-12,luna,0.00018616,0.0008607999999999999,4004,3748,50
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,mathd_numbertheory_284__luna-none-medium__gpt-5.6-luna__seed0,b2d6d10866ab489da9be6456e7f620cf,2026-09-12,luna,0.00038374,0.000853,3785,2607,80
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1964_p2__luna-none-medium__gpt-5.6-luna__seed0,5f882a93d68141e795358eddf5988b8c,2026-09-12,luna,0.0022337399999999997,0.0027029999999999997,4005,2607,1585
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1964_p2__luna-none-medium__gpt-5.6-luna__seed0,897b8c0f3de14948bcd33438f8698c1d,2026-09-12,luna,0.0017957399999999999,0.0022649999999999997,4647,2607,1113
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1964_p2__luna-none-medium__gpt-5.6-luna__seed0,9ce3f3226fda45e881f9a64a04aab994,2026-09-12,luna,0.00237854,0.0028478,7285,2607,1159
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1964_p2__luna-none-medium__gpt-5.6-luna__seed0,bda4c83e8f6647b9a1dda987f2f62a8d,2026-09-12,luna,0.00189914,0.0023683999999999997,8284,2607,593
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1964_p2__luna-none-medium__gpt-5.6-luna__seed0,85e613e3668947ea87dada7937defffe,2026-09-12,luna,0.0009765399999999999,0.0014458,6959,2607,45
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1964_p2__luna-none-medium__gpt-5.6-luna__seed0,1be18cc40332479db26c542d4581b843,2026-09-12,luna,0.00151692,0.0027689999999999998,7221,6956,1104
