stage,arm,theorem,seed,cost,failed,solved
training,terra-none,mathd_algebra_410,0,0.0039394,False,True
training,terra-none,mathd_algebra_43,0,0.0098728,False,True
training,terra-none,mathd_numbertheory_221,0,0.0041714,False,True
training,terra-none,mathd_numbertheory_301,0,0.0324768,False,True
training,terra-none,mathd_numbertheory_326,0,0.008459399999999999,False,True
training,terra-none,mathd_numbertheory_35,0,0.0028674,False,True
training,terra-none,mathd_numbertheory_403,0,0.0044253999999999995,False,True
training,terra-none,mathd_numbertheory_42,0,0.0731174,False,True
training,terra-none,mathd_numbertheory_458,0,0.0342766,False,True
training,terra-none,mathd_numbertheory_48,0,0.0113788,False,True
training,terra-none,mathd_numbertheory_629,0,0.40870179999999995,False,False
validation,luna-ace,aime_1984_p7,0,0.021000719999999997,False,True
validation,luna-ace,aime_1989_p8,0,0.000312,False,True
validation,luna-ace,aime_1991_p6,0,0.034694520000000006,False,False
validation,luna-ace,aime_1991_p9,0,0.035652699999999996,False,True
validation,luna-ace,algebra_others_exirrpowirrrat,0,0.03667356,False,False
validation,luna-ace,amc12_2000_p12,0,0.01450842,False,True
validation,luna-ace,amc12_2001_p21,0,0.03846148,False,False
validation,luna-ace,amc12a_2002_p6,0,0.00055204,False,True
validation,luna-ace,amc12a_2008_p4,0,0.0091323,False,True
validation,luna-ace,amc12a_2013_p8,0,0.0056448,False,True
validation,luna-ace,amc12a_2016_p3,0,0.00671758,False,True
validation,luna-ace,amc12a_2019_p21,0,0.040915639999999996,False,False
validation,luna-ace,amc12a_2020_p21,0,0.0363663,False,False
validation,luna-ace,amc12b_2002_p3,0,0.005691659999999999,False,True
validation,luna-ace,amc12b_2003_p6,0,0.023090899999999998,False,True
validation,luna-ace,amc12b_2020_p5,0,0.00033951999999999995,False,True
validation,luna-ace,imo_1960_p2,0,0.00632444,False,True
validation,luna-ace,imo_1964_p2,0,0.013769059999999998,False,True
validation,luna-ace,imo_1969_p2,0,0.03866375999999999,False,False
validation,luna-ace,imo_1981_p6,0,0.0078697,False,True
validation,luna-ace,imo_1984_p6,0,0.033171280000000004,False,False
validation,luna-ace,induction_prod1p1onk3le3m1onn,0,0.04039864,False,True
validation,luna-ace,mathd_algebra_190,0,0.00030785999999999997,False,True
validation,luna-ace,mathd_algebra_214,0,0.00059424,False,True
validation,luna-ace,mathd_algebra_234,0,0.00035376,False,True
validation,luna-ace,mathd_algebra_251,0,0.00034186000000000004,False,True
validation,luna-ace,mathd_algebra_282,0,0.03626396,False,False
validation,luna-ace,mathd_algebra_327,0,0.0012978399999999998,False,True
validation,luna-ace,mathd_algebra_393,0,0.01220498,False,True
validation,luna-ace,mathd_algebra_421,0,0.00162758,False,True
validation,luna-ace,mathd_algebra_433,0,0.0018152399999999999,False,True
validation,luna-ace,mathd_numbertheory_284,0,0.00047744,False,True
validation,luna-ace,mathd_numbertheory_303,0,0.040026860000000004,False,False
validation,luna-ace,mathd_numbertheory_33,0,0.00092788,False,True
validation,luna-ace,mathd_numbertheory_37,0,0.01892836,False,False
validation,luna-ace,mathd_numbertheory_405,0,0.040541839999999996,False,False
validation,luna-ace,mathd_numbertheory_43,0,0.0190502,False,False
validation,luna-ace,mathd_numbertheory_461,0,0.0006368400000000001,False,True
validation,luna-ace,mathd_numbertheory_530,0,0.03573844,False,False
validation,luna-ace,mathd_numbertheory_64,0,0.006142159999999999,False,True
validation,luna-none,aime_1984_p7,0,0.033174659999999995,False,True
validation,luna-none,aime_1989_p8,0,0.00048434,False,True
validation,luna-none,aime_1991_p6,0,0.031570020000000004,False,False
validation,luna-none,aime_1991_p9,0,0.042114759999999994,False,False
validation,luna-none,algebra_others_exirrpowirrrat,0,0.03804408,False,False
validation,luna-none,amc12_2000_p12,0,0.005508320000000001,False,True
validation,luna-none,amc12_2001_p21,0,0.0446155,False,False
validation,luna-none,amc12a_2002_p6,0,0.00043074,False,True
validation,luna-none,amc12a_2008_p4,0,0.020060619999999998,False,True
validation,luna-none,amc12a_2013_p8,0,0.006025399999999999,False,True
validation,luna-none,amc12a_2016_p3,0,0.006820140000000001,False,True
validation,luna-none,amc12a_2019_p21,0,0.03950654,False,False
validation,luna-none,amc12a_2020_p21,0,0.04106614,False,False
validation,luna-none,amc12b_2002_p3,0,0.03719388,False,False
validation,luna-none,amc12b_2003_p6,0,0.024093539999999997,False,True
validation,luna-none,amc12b_2020_p5,0,0.00053394,False,True
validation,luna-none,imo_1960_p2,0,0.039185399999999995,False,False
validation,luna-none,imo_1964_p2,0,0.01614792,False,True
validation,luna-none,imo_1969_p2,0,0.04147332,False,False
validation,luna-none,imo_1981_p6,0,0.01170932,False,True
validation,luna-none,imo_1984_p6,0,0.03900012,False,False
validation,luna-none,induction_prod1p1onk3le3m1onn,0,0.0229819,False,True
validation,luna-none,mathd_algebra_190,0,0.0005643,False,True
validation,luna-none,mathd_algebra_214,0,0.0020538199999999996,False,True
validation,luna-none,mathd_algebra_234,0,0.00049274,False,True
validation,luna-none,mathd_algebra_251,0,0.006827059999999999,False,True
validation,luna-none,mathd_algebra_282,0,0.031249700000000002,False,False
validation,luna-none,mathd_algebra_327,0,0.00247056,False,True
validation,luna-none,mathd_algebra_393,0,0.007207640000000001,False,True
validation,luna-none,mathd_algebra_421,0,0.00219164,False,True
validation,luna-none,mathd_algebra_433,0,0.0036560000000000004,False,True
validation,luna-none,mathd_numbertheory_284,0,0.00038374,False,True
validation,luna-none,mathd_numbertheory_303,0,0.036631239999999995,False,False
validation,luna-none,mathd_numbertheory_33,0,0.0026127,False,True
validation,luna-none,mathd_numbertheory_37,0,0.03252764,False,False
validation,luna-none,mathd_numbertheory_405,0,0.03685584,False,False
validation,luna-none,mathd_numbertheory_43,0,0.018451679999999998,False,False
validation,luna-none,mathd_numbertheory_461,0,0.0004723399999999999,False,True
validation,luna-none,mathd_numbertheory_530,0,0.04096697999999999,False,False
validation,luna-none,mathd_numbertheory_64,0,0.009155879999999998,False,True
validation,terra-ace,aime_1984_p7,0,0.25703519999999996,False,True
validation,terra-ace,aime_1989_p8,0,0.0062588,False,True
validation,terra-ace,aime_1991_p6,0,0.362393,False,False
validation,terra-ace,aime_1991_p9,0,0.21125039999999998,False,True
validation,terra-ace,algebra_others_exirrpowirrrat,0,0.32913299999999995,False,False
validation,terra-ace,amc12_2000_p12,0,0.08933560000000001,False,True
validation,terra-ace,amc12_2001_p21,0,0.3516562000000001,False,True
validation,terra-ace,amc12a_2002_p6,0,0.0047748,False,True
validation,terra-ace,amc12a_2008_p4,0,0.23749579999999998,False,True
validation,terra-ace,amc12a_2013_p8,0,0.0519594,False,True
validation,terra-ace,amc12a_2016_p3,0,0.05387159999999999,False,True
validation,terra-ace,amc12a_2019_p21,0,0.3386716000000001,False,False
validation,terra-ace,amc12a_2020_p21,0,0.3670588,False,False
validation,terra-ace,amc12b_2002_p3,0,0.0405176,False,True
validation,terra-ace,amc12b_2003_p6,0,0.2004872,False,True
validation,terra-ace,amc12b_2020_p5,0,0.005638799999999999,False,True
validation,terra-ace,imo_1960_p2,0,0.1902314,False,True
validation,terra-ace,imo_1964_p2,0,0.10842519999999999,False,True
validation,terra-ace,imo_1969_p2,0,0.3902946,False,False
validation,terra-ace,imo_1981_p6,0,0.09625539999999999,False,True
validation,terra-ace,imo_1984_p6,0,0.383316,False,False
validation,terra-ace,induction_prod1p1onk3le3m1onn,0,0.3644364,False,True
validation,terra-ace,mathd_algebra_190,0,0.0050048,False,True
validation,terra-ace,mathd_algebra_214,0,0.0049568,False,True
validation,terra-ace,mathd_algebra_234,0,0.0052748,False,True
validation,terra-ace,mathd_algebra_251,0,0.0789466,False,True
validation,terra-ace,mathd_algebra_282,0,0.30663419999999997,False,False
validation,terra-ace,mathd_algebra_327,0,0.0177796,False,True
validation,terra-ace,mathd_algebra_393,0,0.016193600000000002,False,True
validation,terra-ace,mathd_algebra_421,0,0.0297442,False,True
validation,terra-ace,mathd_algebra_433,0,0.0160174,False,True
validation,terra-ace,mathd_numbertheory_284,0,0.0047128,False,True
validation,terra-ace,mathd_numbertheory_303,0,0.329607,False,False
validation,terra-ace,mathd_numbertheory_33,0,0.0491202,False,True
validation,terra-ace,mathd_numbertheory_37,0,0.2537962,False,True
validation,terra-ace,mathd_numbertheory_405,0,0.3109056,False,True
validation,terra-ace,mathd_numbertheory_43,0,0.17985360000000003,False,False
validation,terra-ace,mathd_numbertheory_461,0,0.004998799999999999,False,True
validation,terra-ace,mathd_numbertheory_530,0,0.37150059999999996,False,False
validation,terra-ace,mathd_numbertheory_64,0,0.0258006,False,True
validation,terra-none,aime_1984_p7,0,0.252738,False,True
validation,terra-none,aime_1989_p8,0,0.0046034,False,True
validation,terra-none,aime_1991_p6,0,0.4262602,False,False
validation,terra-none,aime_1991_p9,0,0.19395240000000005,False,True
validation,terra-none,algebra_others_exirrpowirrrat,0,0.40246499999999996,False,False
validation,terra-none,amc12_2000_p12,0,0.0670918,False,True
validation,terra-none,amc12_2001_p21,0,0.3972065999999999,False,False
validation,terra-none,amc12a_2002_p6,0,0.006671399999999999,False,True
validation,terra-none,amc12a_2008_p4,0,0.08079839999999999,False,True
validation,terra-none,amc12a_2013_p8,0,0.0752474,False,True
validation,terra-none,amc12a_2016_p3,0,0.09181919999999999,False,True
validation,terra-none,amc12a_2019_p21,0,0.26684699999999995,False,False
validation,terra-none,amc12a_2020_p21,0,0.41969639999999997,False,False
validation,terra-none,amc12b_2002_p3,0,0.0988368,False,True
validation,terra-none,amc12b_2003_p6,0,0.1484706,False,True
validation,terra-none,amc12b_2020_p5,0,0.0063354,False,True
validation,terra-none,imo_1960_p2,0,0.24140620000000002,False,True
validation,terra-none,imo_1964_p2,0,0.09987660000000001,False,True
validation,terra-none,imo_1969_p2,0,0.4210921999999999,False,False
validation,terra-none,imo_1981_p6,0,0.08711319999999999,False,True
validation,terra-none,imo_1984_p6,0,0.2397728,False,False
validation,terra-none,induction_prod1p1onk3le3m1onn,0,0.2561448,False,True
validation,terra-none,mathd_algebra_190,0,0.0040454,False,True
validation,terra-none,mathd_algebra_214,0,0.0044414,False,True
validation,terra-none,mathd_algebra_234,0,0.0036674,False,True
validation,terra-none,mathd_algebra_251,0,0.0216796,False,True
validation,terra-none,mathd_algebra_282,0,0.30052460000000003,False,False
validation,terra-none,mathd_algebra_327,0,0.0642006,False,True
validation,terra-none,mathd_algebra_393,0,0.0388714,False,True
validation,terra-none,mathd_algebra_421,0,0.04287,False,True
validation,terra-none,mathd_algebra_433,0,0.013146600000000001,False,True
validation,terra-none,mathd_numbertheory_284,0,0.0038494000000000002,False,True
validation,terra-none,mathd_numbertheory_303,0,0.23660160000000002,False,True
validation,terra-none,mathd_numbertheory_33,0,0.1157596,False,True
validation,terra-none,mathd_numbertheory_37,0,0.30382040000000005,False,True
validation,terra-none,mathd_numbertheory_405,0,0.40774579999999994,False,False
validation,terra-none,mathd_numbertheory_43,0,0.405381,False,False
validation,terra-none,mathd_numbertheory_461,0,0.0044594,False,True
validation,terra-none,mathd_numbertheory_530,0,0.33714359999999993,False,False
validation,terra-none,mathd_numbertheory_64,0,0.017972,False,True
